line	start	end	head	text
1	4	5	4	Carlo tuo
1	6	7	7	bella Clemenza
2	6	7	7	li 'nganni
3	4	6	6	la sua semenza
4	7	8	8	li anni
5	3	3	3	io
5	10	10	10	pianto
6	4	4	4	retro
6	6	7	7	vostri danni
7	3	8	4	la vita di quel lume santo
7	3	4	4	la vita
7	6	8	7	quel lume santo
7	7	8	7	lume santo
8	5	8	5	Sol che la rïempie
8	5	5	5	Sol
8	7	7	7	la
9	2	9	3	quel ben ch'a ogne cosa è tanto
9	2	3	3	quel ben
9	6	7	7	ogne cosa
9	7	7	7	cosa
10	2	6	2	anime ingannate e fatture empie
10	2	3	2	anime ingannate
10	2	2	2	anime
10	5	6	5	fatture empie
10	5	5	5	fatture
11	3	5	5	sì fatto ben
11	5	5	5	ben
11	7	8	8	i cuori
11	8	8	8	cuori
12	3	3	3	vanità
12	4	6	6	le vostre tempie
12	5	6	6	vostre tempie
12	6	6	6	tempie
13	3	7	4	un altro di quelli splendori
13	3	4	4	un altro
13	6	7	7	quelli splendori
13	7	7	7	splendori
14	2	2	2	me
14	6	8	8	'l suo voler
14	8	8	8	voler
15	3	5	3	chiarir di fori
15	3	3	3	chiarir
15	5	5	5	fori
16	1	7	2	Li occhi di Bëatrice, ch'eran fermi
16	1	4	2	Li occhi di Bëatrice
16	1	2	2	Li occhi
16	2	4	2	occhi di Bëatrice
16	4	4	4	Bëatrice
17	2	2	2	me
17	6	7	7	caro assenso
17	7	7	7	assenso
18	2	5	3	mio disio certificato fermi
18	2	3	3	mio disio
18	3	5	3	disio certificato fermi
18	3	3	3	disio
19	4	5	5	mio voler
19	5	5	5	voler
19	7	7	7	compenso
20	1	2	2	beato spirto
20	2	2	2	spirto
20	6	6	6	prova
21	5	5	5	te
21	7	10	7	quel ch'io penso
21	9	9	9	io
22	2	8	3	la luce che m'era ancor nova
22	2	3	3	la luce
23	2	3	3	suo profondo
23	5	5	5	ella
24	4	4	4	cui
24	8	8	8	giova
25	2	7	3	quella parte de la terra prava
25	2	3	3	quella parte
25	5	7	6	la terra prava
26	1	1	1	italica
