line	token	word	deprel	head_line	head_token
1	1	Posto	root	0	0
1	2	avea	aux	1	1
1	3	fine	obj	1	1
1	4	al	case	1	6
1	5	suo	det:poss	1	6
1	6	ragionamento	obl	1	1
2	1	l'	det	2	3
2	2	alto	amod	2	3
2	3	dottore	nsubj	1	1
2	4	e	cc	2	6
2	5	attento	advmod	2	6
2	6	guardava	conj	1	1
3	1	ne	case	3	4
3	2	la	det	3	4
3	3	mia	det:poss	3	4
3	4	vista	obl	2	6
3	5	s'	mark	3	7
3	6	io	nsubj	3	7
3	7	parea	advcl	2	6
3	8	contento	xcomp	3	7
4	1	e	cc	5	3
4	2	io	nsubj	5	3
4	3	cui	obj	4	7
4	4	nova	amod	4	5
4	5	sete	nsubj	4	7
4	6	ancor	advmod	4	7
4	7	frugava	acl:relcl	4	2
5	1	di	case	5	2
5	2	fuor	obl	5	3
5	3	tacea	conj	1	1
5	4	e	cc	5	6
5	5	dentro	obl	5	6
5	6	dicea	conj	5	3
5	7	Forse	advmod	6	8
6	1	lo	det	6	3
6	2	troppo	amod	6	3
6	3	dimandar	nsubj	6	8
6	4	ch'	obj	6	6
6	5	io	nsubj	6	6
6	6	fo	acl:relcl	6	3
6	7	li	obj	6	8
6	8	grava	ccomp	5	6
7	1	Ma	advmod	9	6
7	2	quel	det	7	3
7	3	padre	nsubj	9	6
7	4	verace	amod	7	3
7	5	che	nsubj	7	7
7	6	s'	expl	7	7
7	7	accorse	acl:relcl	7	3
8	1	del	case	8	3
8	2	timido	amod	8	3
8	3	voler	obl	7	7
8	4	che	nsubj	8	7
8	5	non	advmod	8	7
8	6	s'	expl	8	7
8	7	apriva	acl:relcl	8	3
9	1	parlando	advcl	9	6
9	2	di	case	9	3
9	3	parlare	nmod	9	4
9	4	ardir	obj	9	6
9	5	mi	iobj	9	6
9	6	porse	root	0	0
10	1	Ond'	advmod	10	8
10	2	io	parataxis	10	8
10	3	Maestro	vocative	10	8
10	4	il	det	10	6
10	5	mio	det	10	6
10	6	veder	nsubj	10	8
10	7	s'	expl	10	8
10	8	avviva	root	0	0
11	1	sì	advmod	10	8
11	2	nel	case	11	4
11	3	tuo	det	11	4
11	4	lume	obl	10	8
11	5	ch'	mark	11	7
11	6	io	nsubj	11	7
11	7	discerno	advcl	10	8
11	8	chiaro	advmod	11	7
12	1	quanto	mark	12	5
12	2	la	det	12	4
12	3	tua	det	12	4
12	4	ragion	nsubj	12	5
12	5	parta	ccomp	11	7
12	6	o	cc	12	7
12	7	descriva	conj	12	5
13	1	Però	advmod	13	3
13	2	ti	obj	13	3
13	3	prego	root	0	0
13	4	dolce	amod	13	5
13	5	padre	vocative	13	3
13	6	caro	amod	13	5
14	1	che	mark	14	3
14	2	mi	iobj	14	3
14	3	dimostri	ccomp	13	3
14	4	amore	obj	14	3
14	5	a	case	14	6
14	6	cui	obl	14	7
14	7	reduci	acl:relcl	14	4
15	1	ogne	det	15	3
15	2	buono	amod	15	3
15	3	operare	obj	14	7
15	4	e	cc	15	7
15	5	'l	det	15	7
15	6	suo	det:poss	15	7
15	7	contraro	conj	15	3
16	1	Drizza	ccomp	16	2
16	2	disse	root	0	0
16	3	ver'	case	16	4
16	4	me	obl	16	1
16	5	l'	det	16	7
16	6	agute	amod	16	7
16	7	luci	obj	16	1
17	1	de	case	17	3
17	2	lo	det	17	3
17	3	'ntelletto	nmod	16	7
17	4	e	cc	17	5
17	5	fieti	conj	16	1
17	6	manifesto	xcomp	17	5
18	1	l'	det	18	2
18	2	error	nsubj	17	5
18	3	de'	case	18	4
18	4	ciechi	nmod	18	2
18	5	che	nsubj	18	7
18	6	si	obj	18	7
18	7	fanno	acl:relcl	18	4
18	8	duci	xcomp	18	7
19	1	L'	det	19	2
19	2	animo	nsubj	20	5
19	3	ch'	nsubj	19	5
19	4	è	aux	19	5
19	5	creato	acl:relcl	19	2
19	6	ad	case	19	7
19	7	amar	xcomp	19	5
19	8	presto	advmod	19	7
20	1	ad	case	20	3
20	2	ogne	det	20	3
20	3	cosa	obl	20	5
20	4	è	cop	20	5
20	5	mobile	root	0	0
20	6	che	nsubj	20	7
20	7	piace	acl:relcl	20	3
21	1	tosto	advmod	21	8
21	2	che	mark	21	8
21	3	dal	case	21	4
21	4	piacere	obl	21	8
21	5	in	case	21	6
21	6	atto	nmod	21	4
21	7	è	cop	21	8
21	8	desto	advcl	20	5
22	1	Vostra	det:poss	22	2
22	2	apprensiva	nsubj	23	1
22	3	da	mark	22	4
22	4	esser	acl	22	2
22	5	verace	attr	22	4
23	1	tragge	root	0	0
23	2	intenzione	obj	23	1
23	3	e	cc	23	8
23	4	dentro	obl	23	8
23	5	a	case	23	6
23	6	voi	nmod	23	4
23	7	la	obj	23	8
23	8	spiega	conj	23	1
24	1	sì	advmod	24	8
24	2	che	mark	24	8
24	3	l'	det	24	4
24	4	animo	nsubj	24	7
24	5	ad	case	24	6
24	6	essa	obl	24	7
24	7	volger	xcomp	24	8
24	8	face	advcl	23	8
25	1	e	cc	26	3
25	2	se	mark	25	8
25	3	rivolto	advcl	25	8
25	4	inver'	case	25	6
25	5	di	case	25	6
25	6	lei	obl	25	8
25	7	si	expl	25	8
25	8	piega	advcl	26	3
26	1	quel	det	26	2
26	2	piegare	nsubj	26	3
26	3	è	conj	23	1
26	4	amor	attr	26	3
26	5	quell'	nsubj	26	6
26	6	è	conj	26	3
26	7	natura	attr	26	6
27	1	che	nsubj	27	9
27	2	per	case	27	3
27	3	piacer	obl	27	9
27	4	di	case	27	5
27	5	novo	obl	27	9
27	6	in	case	27	7
27	7	voi	obl	27	9
27	8	si	expl	27	9
27	9	lega	acl:relcl	26	7
28	1	Poi	advmod	31	5
28	2	come	mark	28	5
28	3	'l	det	28	4
28	4	foco	nsubj	28	5
28	5	movesi	advcl	31	5
28	6	in	case	28	7
28	7	altura	obl	28	5
29	1	per	case	29	4
29	2	la	det	29	4
29	3	sua	det:poss	29	4
29	4	forma	obl	28	5
29	5	ch'	nsubj	29	6
29	6	è	aux	29	7
29	7	nata	acl:relcl	29	4
29	8	a	case	29	9
29	9	salire	xcomp	29	7
30	1	là	advmod	29	9
30	2	dove	obl	30	7
30	3	più	advmod	30	7
30	4	in	case	30	6
30	5	sua	det:poss	30	6
30	6	matera	obl	30	7
30	7	dura	advcl	29	9
31	1	così	advmod	31	5
31	2	l'	det	31	3
31	3	animo	nsubj	31	5
31	4	preso	amod	31	3
31	5	entra	root	0	0
31	6	in	case	31	7
31	7	disire	obl	31	5
32	1	ch'	nsubj	32	2
32	2	è	cop	32	3
32	3	moto	acl:relcl	31	7
32	4	spiritale	amod	32	3
32	5	e	cc	32	8
32	6	mai	advmod	32	8
32	7	non	advmod	32	8
32	8	posa	conj	31	5
33	1	fin	mark	33	7
33	2	che	mark	33	7
33	3	la	det	33	4
33	4	cosa	nsubj	33	7
33	5	amata	amod	33	4
33	6	il	obj	33	7
33	7	fa	advcl	32	8
33	8	gioire	xcomp	33	7
34	1	Or	advmod	34	4
34	2	ti	iobj	34	4
34	3	puote	aux	34	4
34	4	apparer	root	0	0
34	5	quant'	mark	34	7
34	6	è	cop	34	7
34	7	nascosa	nsubj	34	4
35	1	la	det	35	2
35	2	veritate	nsubj	34	7
35	3	a	case	35	5
35	4	la	det	35	5
35	5	gente	obl	34	7
35	6	ch'	nsubj	35	7
35	7	avvera	acl:relcl	35	5
36	1	ciascun	det	36	2
36	2	amore	obj	35	7
36	3	in	case	36	4
36	4	sé	obl	35	7
36	5	laudabil	amod	36	6
36	6	cosa	obj	35	7
