line	token	word	case
4	7	si	reflexive
5	7	la	accusative
7	2	che	nominative
9	5	ch'	nominative
10	2	si	reflexive
13	3	quel	ablative
13	6	quel	ablative
14	6	quella	genitive
17	4	che	accusative
18	3	che	nominative
18	8	s'	reflexive
20	3	noi	ablative
26	5	ch'	nominative
26	8	che	nominative
26	9	i	accusative
29	1	si	reflexive
30	2	mi	dative
30	5	volgermi	reflexive
31	5	che	nominative
31	6	mi	accusative
32	1	mi	accusative
33	2	cui	ablative
33	7	ci	dative
33	8	si	reflexive
34	7	un	nominative
34	9	altro	nominative
34	10	s'	reflexive
35	4	elli	nominative
36	4	loro	genitive
37	5	che	nominative
39	1	si	reflexive
40	4	che	nominative
41	5	ch'	nominative
44	5	cui	genitive
44	8	cui	genitive
45	4	si	reflexive
48	2	che	ablative
48	3	si	reflexive
50	4	quali	ablative
51	7	si	reflexive
54	2	che	ablative
55	2	vi	locative
57	3	suoi	dative
60	5	lei	nominative
62	5	lui	ablative
63	1	u'	ablative
63	2	si	reflexive
64	3	che	nominative
64	5	lui	ablative
66	1	ch'	nominative
66	5	lui	ablative
68	2	si	reflexive
68	6	nomarlo	accusative
69	4	cui	genitive
70	5	io	nominative
70	6	ne	ablative
71	6	che	accusative
72	7	aiutarlo	accusative
74	5	che	nominative
74	7	lui	ablative
75	5	che	accusative
78	3	Io	nominative
78	7	questo	ablative
81	5	si	reflexive
82	6	cui	ablative
82	8	s'	reflexive
85	6	si	reflexive
86	3	si	reflexive
88	5	che	nominative
89	7	lei	ablative
90	3	colui	ablative
90	4	che	nominative
90	6	che	nominative
93	3	quae	nominative
96	2	qual	genitive
96	3	ti	accusative
98	5	si	reflexive
99	3	ch'	accusative
103	2	lui	ablative
103	3	si	reflexive
104	5	si	reflexive
107	2	che	ablative
107	6	si	reflexive
109	2	ti	dative
110	7	cui	genitive
112	4	che	nominative
115	4	che	nominative
115	5	si	reflexive
117	2	quel	nominative
117	5	quel	ablative
118	3	si	reflexive
120	1	si	reflexive
120	6	li	dative
121	3	chi	nominative
123	3	I'	nominative
123	4	mi	reflexive
123	6	quel	nominative
123	7	ch'	accusative
123	8	i'	nominative
125	2	onde	ablative
126	2	uno	nominative
126	3	la	accusative
126	6	altro	nominative
126	7	la	accusative
127	1	Io	nominative
128	3	che	nominative
131	1	che	nominative
132	1	che	nominative
132	6	si	reflexive
133	8	elli	ablative
135	2	qual	nominative
138	1	ch'	nominative
139	5	lucemi	accusative
143	1	mi	accusative
145	3	meco	ablative
